DATE,TIME,DOY,ASY-D,ASY-H,SYM-D,SYM-H
11/01/2020,55:00.0,11,9,11,0,-17
11/01/2020,56:00.0,11,9,10,0,-17
11/01/2020,57:00.0,11,10,11,0,-17
11/01/2020,58:00.0,11,9,11,0,-17
11/01/2020,59:00.0,11,8,11,0,-17
11/01/2020,00:00.0,11,8,11,0,-18
11/01/2020,01:00.0,11,7,12,-1,-17
11/01/2020,02:00.0,11,7,12,-1,-17
11/01/2020,03:00.0,11,8,13,-1,-18
11/01/2020,04:00.0,11,8,13,-1,-18
11/01/2020,05:00.0,11,8,13,-1,-18
11/01/2020,06:00.0,11,9,13,-1,-18
11/01/2020,07:00.0,11,9,13,-1,-18
11/01/2020,08:00.0,11,9,13,-1,-18
11/01/2020,09:00.0,11,8,13,-1,-18
11/01/2020,10:00.0,11,8,12,-1,-18
11/01/2020,11:00.0,11,8,13,-1,-18
11/01/2020,12:00.0,11,8,13,-1,-18
11/01/2020,13:00.0,11,8,13,-1,-18
11/01/2020,14:00.0,11,8,13,-1,-18
11/01/2020,15:00.0,11,8,14,-1,-18
11/01/2020,16:00.0,11,6,14,-1,-18
11/01/2020,17:00.0,11,5,14,-1,-18
11/01/2020,18:00.0,11,5,14,-1,-18
11/01/2020,19:00.0,11,5,14,-1,-18
11/01/2020,20:00.0,11,5,15,-1,-19
11/01/2020,21:00.0,11,5,15,-1,-19
11/01/2020,22:00.0,11,6,14,-1,-19
11/01/2020,23:00.0,11,6,14,-1,-19
11/01/2020,24:00.0,11,6,14,-1,-19
11/01/2020,25:00.0,11,6,15,-1,-19
11/01/2020,26:00.0,11,6,15,-1,-19
11/01/2020,27:00.0,11,7,15,-1,-19
11/01/2020,28:00.0,11,7,15,-1,-19
11/01/2020,29:00.0,11,7,15,-1,-19
11/01/2020,30:00.0,11,7,15,-1,-19
11/01/2020,31:00.0,11,7,15,-1,-19
11/01/2020,32:00.0,11,8,15,-1,-19
11/01/2020,33:00.0,11,8,15,-1,-19
11/01/2020,34:00.0,11,7,15,-1,-19
11/01/2020,35:00.0,11,7,15,-1,-19
11/01/2020,36:00.0,11,7,14,-1,-19
11/01/2020,37:00.0,11,7,14,-1,-19
11/01/2020,38:00.0,11,7,14,-1,-19
11/01/2020,39:00.0,11,8,14,-1,-19
11/01/2020,40:00.0,11,8,14,-1,-19
11/01/2020,41:00.0,11,8,14,-1,-19
11/01/2020,42:00.0,11,8,14,-1,-20
